"sourceId","sourceType","title","publisher","url","publishedAt","updatedAt","checkedAt","applicableDate","finalOrPreliminary","locator","claimIds","checksum","status"
"SRC-AI-001","official-product","ChatGPT for Small Business | Workshop Resource Hub","OpenAI Academy","https://academy.openai.com/public/resources/openai-academy-small-business-resource-hub-2026-06-03","2026-06-04","2026-08-05","2026-08-27","2026-08-27","living","lines 52-110, 224-320","CLM-AI-002|CLM-AI-006|CLM-AI-008|CLM-AI-012","sha256-id-v1:62f1eb3de665cc931b14f30c0d311fc4c887f49b52e3f0a9014ece150d6bc82a","adopted-current"
"SRC-AI-002","official-product","Writing with ChatGPT","OpenAI","https://openai.com/academy/writing/","2026-04-10",,"2026-08-27","2026-08-27","living","lines 35-73","CLM-AI-001|CLM-AI-003|CLM-AI-004|CLM-AI-006","sha256-id-v1:9cb77bf57018b6a76098c46f0b610d64d80ccf627d852cc5640506bf74483b43","adopted-current"
"SRC-AI-003","official-product","Does ChatGPT tell the truth?","OpenAI","https://help.openai.com/en/articles/8313428-does-chatgpt-tell-the-truth",,,"2026-08-27","2026-08-27","living","lines 12-22, 35-42, 62-70","CLM-AI-005|CLM-AI-006|CLM-AI-007","sha256-id-v1:301ded39c599a11916bd1f6d8df6bc7f1ac2225c478426b0839406d0f0960523","adopted-current; page exposes relative update only"
"SRC-AI-004","official-product","Prompting best practices","Anthropic","https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/claude-prompting-best-practices",,,"2026-08-27","2026-08-27","living","sections General principles / Be clear and direct / Add context / Use examples / Structure prompts","CLM-AI-003","sha256-id-v1:e480334f57cbe67cd0ae245be3c477c2eec0855d0b3fd943fef6b218f645ece4","adopted-current"
"SRC-AI-005","official-product","Reduce hallucinations","Anthropic","https://platform.claude.com/docs/en/test-and-evaluate/strengthen-guardrails/reduce-hallucinations",,,"2026-08-27","2026-08-27","living","lines 133-170","CLM-AI-005|CLM-AI-007","sha256-id-v1:2f4d23ed57a70485feafe5af05d0ec5c7c694a3b838d083b2eff51354a7edfa8","adopted-current"
"SRC-AI-006","official-product","Prompt design strategies","Google AI for Developers","https://ai.google.dev/gemini-api/docs/prompting-strategies",,"2026-06-10","2026-08-27","2026-08-27","living","sections Clear and specific instructions / Add context / Core prompting principles / Structured prompting","CLM-AI-003|CLM-AI-004","sha256-id-v1:d5c2a32426afe13912f82887c2e6a248e01e9dc47c5326e1d6633900f6a23a20","adopted-current"
"SRC-AI-007","government-guidance","生成AIサービスの利用に関する注意喚起等","個人情報保護委員会","https://www.ppc.go.jp/files/pdf/230602_alert_generative_AI_service.pdf","2023-06-02",,"2026-08-27","2026-08-27","final","pp.2-3, PDF extracted lines 40-74","CLM-AI-009|CLM-AI-010|CLM-AI-011","sha256-id-v1:fa5f153eb834695be1d090279d75a83e8a119b91596e70ad8764f7b01955d1f4","adopted-currently-published"
"SRC-AI-008","government-guidance","AI事業者ガイドライン（第1.2版）別添","総務省・経済産業省","https://www.meti.go.jp/shingikai/mono_info_service/ai_shakai_jisso/pdf/20260331_3.pdf","2026-03-31",,"2026-08-27","2026-03-31","final","Annex 5 AI users, pp.166-180; p.167 human judgment and data minimization","CLM-AI-017","sha256-id-v1:71a71c3992327ebdb5b4c48ceb9ba3fb6590d716fe6338d32a85cfbf84a416cd","adopted-latest-v1.2"
"SRC-AI-009","government-guidance","著作権テキスト 令和8年度版","文化庁著作権課","https://www.bunka.go.jp/seisaku/chosakuken/seidokaisetsu/pdf/94383901_01.pdf","2026",,"2026-08-27","2026","final","p.70, AI and copyright basic principles","CLM-AI-013|CLM-AI-014|CLM-AI-015","sha256-id-v1:5c1a3fd84589103dffbb93a95da7ae709d2612e035e43a813445dca6b6c51cbb","adopted-current-fiscal-edition"
"SRC-AI-010","government-guidance","AIと著作権に関するチェックリスト＆ガイダンス","文化庁著作権課","https://www.bunka.go.jp/seisaku/bunkashingikai/chosakuken/seisaku/r06_02/pdf/94101701_01.pdf","2024-07-31",,"2026-08-27","2026-08-27","final","p.5; pp.18-21, AI business users","CLM-AI-013|CLM-AI-015","sha256-id-v1:ae212bb8fed2d90f4616c9c331cc023a4d73cbb23f26d981984fc6eb9fd02266","adopted-currently-published"
"SRC-AI-011","government-guidance","AIと著作権に関する考え方について","文化審議会著作権分科会法制度小委員会","https://www.bunka.go.jp/seisaku/bunkashingikai/chosakuken/pdf/94037901_01.pdf","2024-03-15",,"2026-08-27","2026-08-27","final-nonbinding-interpretation","pp.2-5; pp.32-40","CLM-AI-013|CLM-AI-014|CLM-AI-015","sha256-id-v1:1c4295cedcdd16786339976dc864aafc3915f90a399e95e8ccea7c28cd3a4e38","adopted; individual cases remain judicial"
"SRC-AI-012","scientific","Complacency and bias in human use of automation: an attentional integration","Human Factors / PubMed","https://pubmed.ncbi.nlm.nih.gov/21077562/","2010-06",,"2026-08-27","evidence-base through publication","peer-reviewed-final","Abstract: Results, Conclusion, Application","CLM-AI-016","sha256-id-v1:7de17057be851afdc661845c4c661312348057a887d18d1fdac23b57975770d6","adopted-with-generalization-caveat"
"SRC-AI-013","scientific","Automation bias: a systematic review of frequency, effect mediators, and mitigators","JAMIA / BMJ / PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC3240751/","2012-01",,"2026-08-27","evidence-base through 2010 search","peer-reviewed-final","Abstract; Overall conclusion; Limitations","CLM-AI-016","sha256-id-v1:3a701161ac01b45b24696220d5b16ce44fe970ef1f1034865a34c068be392451","adopted-with-healthcare-and-age-caveat"
